"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Muscle|Intracellular|Aciclovir|Concentration [µmol/l]"
1,945,1.172524,0.9454232
1,948,1.162213,0.937004
1,951,1.151996,0.9286616
1,954,1.141869,0.9203949
1,957,1.131833,0.9122031
1,960,1.121886,0.9040855
1,963,1.112028,0.8960416
1,966,1.102259,0.8880704
1,969,1.092576,0.8801715
1,972,1.08298,0.8723441
1,975,1.073469,0.8645875
1,978,1.064043,0.8569011
1,981,1.054701,0.8492842
1,984,1.045442,0.8417363
1,987,1.036266,0.8342565
1,990,1.027171,0.8268443
1,993,1.018158,0.8194991
1,996,1.009224,0.8122202
1,999,1.00037,0.8050069
1,1002,0.991595,0.7978588
1,1005,0.9828976,0.7907751
1,1008,0.9742776,0.7837552
1,1011,0.9657351,0.7767995
1,1014,0.9572687,0.7699066
1,1017,0.9488776,0.763076
1,1020,0.9405611,0.7563071
1,1023,0.9323186,0.7495992
1,1026,0.9241495,0.7429518
1,1029,0.9160529,0.7363644
1,1032,0.9080282,0.7298364
1,1035,0.900075,0.7233672
1,1038,0.8921924,0.7169564
1,1041,0.8843797,0.7106033
1,1044,0.8766364,0.7043074
1,1047,0.8689619,0.6980683
1,1050,0.8613555,0.6918852
1,1053,0.8538166,0.6857578
1,1056,0.8463445,0.6796855
1,1059,0.8389387,0.6736678
1,1062,0.8315984,0.6677042
1,1065,0.8243232,0.6617942
1,1068,0.8171124,0.6559373
1,1071,0.8099663,0.6501336
1,1074,0.8028834,0.6443821
1,1077,0.7958635,0.6386823
1,1080,0.7889057,0.6330338
1,1083,0.7820097,0.627436
1,1086,0.7751747,0.6218886
1,1089,0.7684004,0.6163911
1,1092,0.7616861,0.6109428
1,1095,0.7550312,0.6055436
1,1098,0.7484353,0.6001929
1,1101,0.7418979,0.5948902
1,1104,0.7354183,0.5896351
1,1107,0.728996,0.5844272
1,1110,0.7226306,0.579266
1,1113,0.7163215,0.574151
1,1116,0.7100683,0.569082
1,1119,0.7038703,0.5640584
1,1122,0.6977271,0.5590798
1,1125,0.6916383,0.5541459
1,1128,0.6856033,0.5492561
1,1131,0.6796219,0.5444105
1,1134,0.6736934,0.5396082
1,1137,0.6678174,0.534849
1,1140,0.6619933,0.5301325
1,1143,0.6562207,0.5254583
1,1146,0.6504992,0.5208259
1,1149,0.6448281,0.5162351
1,1152,0.6392073,0.5116853
1,1155,0.6336361,0.5071763
1,1158,0.6281141,0.5027077
1,1161,0.6226409,0.498279
1,1164,0.6172161,0.49389
1,1167,0.6118391,0.4895403
1,1170,0.6065096,0.4852295
1,1173,0.6012271,0.4809572
